ACTOR_DEBUG | 2020-04-26 19:47:25 | [Thread-2] actor.Actor (Actor.java:168) - Client roll-calling port 4002 has closed.
ACTOR_DEBUG | 2020-04-26 19:47:25 | [Thread-1] actor.Actor (Actor.java:168) - Client roll-calling port 4001 has closed.
ACTOR_DEBUG | 2020-04-26 19:47:25 | [Thread-3] actor.Actor (Actor.java:168) - Client roll-calling port 4003 has closed.
ACTOR_DEBUG | 2020-04-26 19:47:26 | [Thread-5] actor.Actor (Actor.java:183) - Initializing server for [Lexa]...
ACTOR_DEBUG | 2020-04-26 19:47:28 | [Thread-5] actor.Actor (Actor.java:204) - Server for [Lexa] bound to port 4000.
ACTOR_DEBUG | 2020-04-26 19:47:28 | [main] actor.Actor (Actor.java:111) - Successfully instantiated [Lexa].
ACTOR_ERROR | 2020-04-26 19:47:28 | [main] actor.Actor (Actor.java:217) - Worker group for [Lexa] failed to shut down.
ACTOR_ERROR | 2020-04-26 19:47:28 | [main] actor.Actor (Actor.java:223) - Boss group for [Lexa] failed to shut down.
ACTOR_ERROR | 2020-04-26 19:47:28 | [main] actor.Actor (Actor.java:236) - Client group for [Lexa] failed to shut down.
ACTOR_DEBUG | 2020-04-26 19:47:28 | [main] actor.Actor (Actor.java:247) - Exit actor [Lexa].
ACTOR_DEBUG | 2020-04-26 19:47:41 | [main] actor.Actor (Actor.java:86) - Instantiating actor [Lexa] on port [4000]...
ACTOR_DEBUG | 2020-04-26 19:47:41 | [Thread-2] actor.Actor (Actor.java:146) - Initializing a client for [Lexa] to roll-call port 4002...
ACTOR_DEBUG | 2020-04-26 19:47:41 | [Thread-3] actor.Actor (Actor.java:146) - Initializing a client for [Lexa] to roll-call port 4003...
ACTOR_DEBUG | 2020-04-26 19:47:41 | [Thread-1] actor.Actor (Actor.java:146) - Initializing a client for [Lexa] to roll-call port 4001...
ACTOR_DEBUG | 2020-04-26 19:47:41 | [Thread-3] actor.Actor (Actor.java:163) - Bootstrap 2075154184 configured.
ACTOR_DEBUG | 2020-04-26 19:47:41 | [Thread-1] actor.Actor (Actor.java:163) - Bootstrap 1762572031 configured.
ACTOR_DEBUG | 2020-04-26 19:47:41 | [Thread-2] actor.Actor (Actor.java:163) - Bootstrap 109834373 configured.
ACTOR_DEBUG | 2020-04-26 19:47:41 | [Thread-3] actor.Actor (Actor.java:165) - Roll-calling port 4003...
ACTOR_DEBUG | 2020-04-26 19:47:41 | [Thread-1] actor.Actor (Actor.java:165) - Roll-calling port 4001...
ACTOR_DEBUG | 2020-04-26 19:47:41 | [Thread-2] actor.Actor (Actor.java:165) - Roll-calling port 4002...
ACTOR_DEBUG | 2020-04-26 19:47:41 | [nioEventLoopGroup-2-3] actor.Actor$ClientHandler (Actor.java:410) - A new client handler has been instantiated by [Lexa].
ACTOR_DEBUG | 2020-04-26 19:47:41 | [nioEventLoopGroup-2-1] actor.Actor$ClientHandler (Actor.java:410) - A new client handler has been instantiated by [Lexa].
ACTOR_DEBUG | 2020-04-26 19:47:41 | [nioEventLoopGroup-2-2] actor.Actor$ClientHandler (Actor.java:410) - A new client handler has been instantiated by [Lexa].
ACTOR_DEBUG | 2020-04-26 19:47:41 | [nioEventLoopGroup-2-3] actor.Actor$1 (Actor.java:160) - Pipeline from [Lexa] to port 4001 initialized.
ACTOR_DEBUG | 2020-04-26 19:47:41 | [nioEventLoopGroup-2-1] actor.Actor$1 (Actor.java:160) - Pipeline from [Lexa] to port 4002 initialized.
ACTOR_DEBUG | 2020-04-26 19:47:41 | [nioEventLoopGroup-2-2] actor.Actor$1 (Actor.java:160) - Pipeline from [Lexa] to port 4003 initialized.
ACTOR_DEBUG | 2020-04-26 19:47:43 | [Thread-3] actor.Actor (Actor.java:168) - Client roll-calling port 4003 has closed.
ACTOR_DEBUG | 2020-04-26 19:47:43 | [Thread-2] actor.Actor (Actor.java:168) - Client roll-calling port 4002 has closed.
ACTOR_DEBUG | 2020-04-26 19:47:43 | [Thread-1] actor.Actor (Actor.java:168) - Client roll-calling port 4001 has closed.
ACTOR_DEBUG | 2020-04-26 19:47:43 | [Thread-5] actor.Actor (Actor.java:183) - Initializing server for [Lexa]...
ACTOR_DEBUG | 2020-04-26 19:47:43 | [main] actor.Actor (Actor.java:111) - Successfully instantiated [Lexa].
ACTOR_DEBUG | 2020-04-26 19:47:43 | [Thread-5] actor.Actor (Actor.java:204) - Server for [Lexa] bound to port 4000.
ACTOR_INFO | 2020-04-26 19:47:43 | [Thread-4] actor.Actor (Actor.java:257) - [Lexa] spoke "Where's my brother?" to the user.
ACTOR_INFO | 2020-04-26 19:47:43 | [Thread-4] actor.Actor (Actor.java:257) - [Lexa] spoke "Foo" to the user.
ACTOR_INFO | 2020-04-26 19:47:43 | [Thread-4] actor.Actor (Actor.java:257) - [Lexa] spoke "Bar" to the user.
ACTOR_INFO | 2020-04-26 19:47:43 | [Thread-4] actor.Actor (Actor.java:257) - [Lexa] spoke "how interesting" to the user.
