ACTOR_DEBUG | 2020-04-26 03:22:54 | [Thread-0] actor.Actor (Actor.java:132) - Initializing a client for [Xander] to roll-call port 4000...
ACTOR_DEBUG | 2020-04-26 03:22:54 | [Thread-0] actor.Actor (Actor.java:149) - Bootstrap 509076239 configured.
ACTOR_DEBUG | 2020-04-26 03:22:54 | [Thread-3] actor.Actor (Actor.java:149) - Bootstrap 1659471779 configured.
ACTOR_DEBUG | 2020-04-26 03:22:54 | [Thread-2] actor.Actor (Actor.java:149) - Bootstrap 972260313 configured.
ACTOR_DEBUG | 2020-04-26 03:22:54 | [Thread-0] actor.Actor (Actor.java:151) - Roll-calling port 4000...
ACTOR_DEBUG | 2020-04-26 03:22:54 | [Thread-2] actor.Actor (Actor.java:151) - Roll-calling port 4002...
ACTOR_DEBUG | 2020-04-26 03:22:54 | [Thread-3] actor.Actor (Actor.java:151) - Roll-calling port 4003...
ACTOR_DEBUG | 2020-04-26 03:22:54 | [nioEventLoopGroup-2-1] actor.Actor$ClientHandler (Actor.java:332) - A new client handler has been instantiated by [Xander].
ACTOR_DEBUG | 2020-04-26 03:22:54 | [nioEventLoopGroup-2-2] actor.Actor$ClientHandler (Actor.java:332) - A new client handler has been instantiated by [Xander].
ACTOR_DEBUG | 2020-04-26 03:22:54 | [nioEventLoopGroup-2-3] actor.Actor$ClientHandler (Actor.java:332) - A new client handler has been instantiated by [Xander].
ACTOR_DEBUG | 2020-04-26 03:22:54 | [nioEventLoopGroup-2-2] actor.Actor$1 (Actor.java:146) - Pipeline from [Xander] to port 4003 initialized.
ACTOR_DEBUG | 2020-04-26 03:22:54 | [nioEventLoopGroup-2-1] actor.Actor$1 (Actor.java:146) - Pipeline from [Xander] to port 4002 initialized.
ACTOR_DEBUG | 2020-04-26 03:22:54 | [nioEventLoopGroup-2-3] actor.Actor$1 (Actor.java:146) - Pipeline from [Xander] to port 4000 initialized.
ACTOR_DEBUG | 2020-04-26 03:22:54 | [nioEventLoopGroup-2-3] actor.Actor$ClientHandler (Actor.java:338) - ChannelHandler 1538606441 has connected to its target.
ACTOR_INFO | 2020-04-26 03:22:54 | [nioEventLoopGroup-2-3] actor.Actor$ClientHandler (Actor.java:347) - Roll-call sent from [Xander] to port 4000.
ACTOR_DEBUG | 2020-04-26 03:22:56 | [Thread-3] actor.Actor (Actor.java:154) - Client roll-calling port 4003 has closed.
ACTOR_DEBUG | 2020-04-26 03:22:56 | [Thread-2] actor.Actor (Actor.java:154) - Client roll-calling port 4002 has closed.
ACTOR_DEBUG | 2020-04-26 14:48:59 | [main] actor.Actor (Actor.java:75) - Instantiating actor [Xander] on port [4001]...
ACTOR_DEBUG | 2020-04-26 14:48:59 | [Thread-2] actor.Actor (Actor.java:132) - Initializing a client for [Xander] to roll-call port 4002...
ACTOR_DEBUG | 2020-04-26 14:48:59 | [Thread-3] actor.Actor (Actor.java:132) - Initializing a client for [Xander] to roll-call port 4003...
ACTOR_DEBUG | 2020-04-26 14:48:59 | [Thread-0] actor.Actor (Actor.java:132) - Initializing a client for [Xander] to roll-call port 4000...
ACTOR_DEBUG | 2020-04-26 14:48:59 | [Thread-0] actor.Actor (Actor.java:149) - Bootstrap 1747328839 configured.
ACTOR_DEBUG | 2020-04-26 14:48:59 | [Thread-3] actor.Actor (Actor.java:149) - Bootstrap 884657564 configured.
ACTOR_DEBUG | 2020-04-26 14:48:59 | [Thread-2] actor.Actor (Actor.java:149) - Bootstrap 171823167 configured.
ACTOR_DEBUG | 2020-04-26 14:48:59 | [Thread-0] actor.Actor (Actor.java:151) - Roll-calling port 4000...
ACTOR_DEBUG | 2020-04-26 14:48:59 | [Thread-3] actor.Actor (Actor.java:151) - Roll-calling port 4003...
ACTOR_DEBUG | 2020-04-26 14:48:59 | [Thread-2] actor.Actor (Actor.java:151) - Roll-calling port 4002...
ACTOR_DEBUG | 2020-04-26 14:48:59 | [nioEventLoopGroup-2-1] actor.Actor$ClientHandler (Actor.java:332) - A new client handler has been instantiated by [Xander].
ACTOR_DEBUG | 2020-04-26 14:48:59 | [nioEventLoopGroup-2-2] actor.Actor$ClientHandler (Actor.java:332) - A new client handler has been instantiated by [Xander].
ACTOR_DEBUG | 2020-04-26 14:48:59 | [nioEventLoopGroup-2-3] actor.Actor$ClientHandler (Actor.java:332) - A new client handler has been instantiated by [Xander].
ACTOR_DEBUG | 2020-04-26 14:48:59 | [nioEventLoopGroup-2-2] actor.Actor$1 (Actor.java:146) - Pipeline from [Xander] to port 4002 initialized.
ACTOR_DEBUG | 2020-04-26 14:48:59 | [nioEventLoopGroup-2-1] actor.Actor$1 (Actor.java:146) - Pipeline from [Xander] to port 4000 initialized.
ACTOR_DEBUG | 2020-04-26 14:48:59 | [nioEventLoopGroup-2-3] actor.Actor$1 (Actor.java:146) - Pipeline from [Xander] to port 4003 initialized.
ACTOR_DEBUG | 2020-04-26 14:49:01 | [Thread-3] actor.Actor (Actor.java:154) - Client roll-calling port 4003 has closed.
ACTOR_DEBUG | 2020-04-26 14:49:01 | [Thread-2] actor.Actor (Actor.java:154) - Client roll-calling port 4002 has closed.
ACTOR_DEBUG | 2020-04-26 14:49:01 | [Thread-0] actor.Actor (Actor.java:154) - Client roll-calling port 4000 has closed.
ACTOR_DEBUG | 2020-04-26 14:49:01 | [Thread-4] actor.Actor (Actor.java:169) - Initializing server for [Xander]...
ACTOR_DEBUG | 2020-04-26 14:49:01 | [main] actor.Actor (Actor.java:97) - Successfully instantiated [Xander].
ACTOR_DEBUG | 2020-04-26 14:49:01 | [Thread-4] actor.Actor (Actor.java:190) - Server for [Xander] bound to port 4001.
ACTOR_ERROR | 2020-04-26 14:49:01 | [main] actor.Actor (Actor.java:258) - [Xander] tried to direct-message [Lexa] but couldn't find them.
ACTOR_DEBUG | 2020-05-12 23:46:59 | [main] actor.Actor (Actor.java:85) - 
ACTOR_DEBUG | 2020-05-12 23:46:59 | [main] actor.Actor (Actor.java:86) - Instantiating actor [Xander] on port [4001]...
ACTOR_DEBUG | 2020-05-12 23:46:59 | [Thread-0] actor.Actor (Actor.java:144) - Initializing a client for [Xander] to roll-call port 4000...
ACTOR_DEBUG | 2020-05-12 23:46:59 | [Thread-3] actor.Actor (Actor.java:144) - Initializing a client for [Xander] to roll-call port 4003...
ACTOR_DEBUG | 2020-05-12 23:46:59 | [Thread-2] actor.Actor (Actor.java:144) - Initializing a client for [Xander] to roll-call port 4002...
ACTOR_DEBUG | 2020-05-12 23:46:59 | [Thread-0] actor.Actor (Actor.java:161) - Bootstrap 1292880764 configured.
ACTOR_DEBUG | 2020-05-12 23:46:59 | [Thread-2] actor.Actor (Actor.java:161) - Bootstrap 1604298861 configured.
ACTOR_DEBUG | 2020-05-12 23:46:59 | [Thread-3] actor.Actor (Actor.java:161) - Bootstrap 1584604364 configured.
ACTOR_DEBUG | 2020-05-12 23:46:59 | [Thread-0] actor.Actor (Actor.java:163) - Roll-calling port 4000...
ACTOR_DEBUG | 2020-05-12 23:46:59 | [Thread-2] actor.Actor (Actor.java:163) - Roll-calling port 4002...
ACTOR_DEBUG | 2020-05-12 23:46:59 | [Thread-3] actor.Actor (Actor.java:163) - Roll-calling port 4003...
ACTOR_DEBUG | 2020-05-12 23:46:59 | [nioEventLoopGroup-2-2] actor.Actor$ClientHandler (Actor.java:521) - A new client handler has been instantiated by [Xander].
ACTOR_DEBUG | 2020-05-12 23:46:59 | [nioEventLoopGroup-2-1] actor.Actor$ClientHandler (Actor.java:521) - A new client handler has been instantiated by [Xander].
ACTOR_DEBUG | 2020-05-12 23:46:59 | [nioEventLoopGroup-2-3] actor.Actor$ClientHandler (Actor.java:521) - A new client handler has been instantiated by [Xander].
ACTOR_DEBUG | 2020-05-12 23:46:59 | [nioEventLoopGroup-2-3] actor.Actor$1 (Actor.java:158) - Pipeline from [Xander] to port 4002 initialized.
